observation,target,output
161,0.790580689907074,0.8915545344352722
162,1.9652676582336426,0.1745912879705429
163,2.0674145221710205,1.7347335815429688
164,-0.31600844860076904,-1.0011059045791626
165,1.3864364624023438,1.1002126932144165
166,1.590729832649231,0.9467188119888306
167,-0.6564973592758179,-0.3899945914745331
168,1.062971830368042,1.0489577054977417
169,1.897169828414917,0.6077205538749695
170,-0.9459130167961121,-0.23438313603401184
171,0.27984729409217834,0.016794590279459953
172,-0.06064175069332123,0.2821107506752014
173,-1.2523530721664429,-0.32294103503227234
174,-0.6905463337898254,-0.2593221366405487
175,-0.23088617622852325,0.26525598764419556
176,1.7950233221054077,1.7614558935165405
177,0.31389614939689636,0.841801643371582
178,-1.2183042764663696,-0.3577902317047119
179,0.552238404750824,0.8833863139152527
180,0.9608252048492432,0.7705220580101013
181,1.4715585708618164,1.0693830251693726
182,2.952685832977295,1.123189926147461
183,0.4160427451133728,0.3135012686252594
184,0.9948740601539612,0.7488767504692078
185,0.29687172174453735,0.6696059107780457
186,0.586287260055542,1.3196386098861694
187,1.897169828414917,0.7870060205459595
188,1.3864364624023438,1.2124314308166504
189,-0.12873947620391846,0.5702599287033081
190,-0.9799619317054749,-0.03966732695698738
191,-1.2864019870758057,-0.11068149656057358
192,-0.7075707912445068,-0.8445946574211121
193,0.9778496026992798,0.8810235261917114
194,0.7735562324523926,1.135705828666687
195,1.590729832649231,1.4381541013717651
196,1.488582968711853,1.493614673614502
197,-0.7756685614585876,-0.6921340823173523
198,-0.11171504855155945,-0.8209268450737
199,-1.150206446647644,-0.7259253859519958
200,1.062971830368042,1.1409552097320557
201,-0.21386174857616425,-0.9305559396743774
202,-0.6905463337898254,-1.0187865495681763
203,-1.2012797594070435,-0.9050604104995728
204,-1.3715242147445679,-1.0633766651153564
205,0.8586785793304443,-0.2176440805196762
206,1.1310697793960571,-0.35516032576560974
207,-0.48625296354293823,0.18074901401996613
208,2.2206344604492188,2.0290019512176514
209,-0.11171504855155945,-0.20445616543293
210,-0.8948396444320679,-0.6003558039665222
